team,conf,record,torvik_rating,torvik_rk,kp_rating,kp_rk,net,elo,resume,wins_above_bubble,wins_above_bubble_rk,torvik_seed,quad1,quad2,quad3,quad4,torvik_off,torvik_off_rk,torvik_def,torvik_def_rk,torvik_tempo,torvik_tempo_rk,kp_off,kp_off_rk,kp_def,kp_def_rk,kp_tempo,kp_tempo_rk,kp_sos,kp_sos_rk,date
Houston,B12,30-4,0.978558,1,31.72,2,1,2,3,10.619844613821,3,1,16-4,3-0,4-0,7-0,119.217,15,85.5166,1,63.3281,349,118.9,17,87.1,2,63.3,348,11.75,14,2024-03-20
Connecticut,BE,31-3,0.971249,2,32.21,1,2,1,2,11.262350938386,1,1,13-3,8-0,1-0,9-0,127.072,1,93.5665,11,64.5856,325,126.6,1,94.4,11,64.5,329,10.46,34,2024-03-20
Purdue,B10,29-4,0.964398,3,29.12,3,3,3,1,11.023202285577,2,1,12-4,8-0,6-0,3-0,126.19,2,94.7184,18,67.5949,169,125,4,95.9,21,67.4,175,13.74,4,2024-03-20
Arizona,P12,25-8,0.952738,6,26.62,6,4,14,10,4.8963745594736,11,2,8-3,7-4,8-1,2-0,121.529,7,93.5942,12,72.0434,16,121.1,8,94.5,12,71.8,16,10.79,26,2024-03-20
Auburn,SEC,27-7,0.957279,5,28.9,4,5,5,45,5.4722067615056,9,4,3-7,10-0,9-0,5-0,120.672,10,92.083,6,69.8466,58,120.6,10,91.7,4,69.8,58,9.61,53,2024-03-20
Iowa St.,B12,27-7,0.958281,4,26.72,5,6,4,4,6.8814936599545,4,2,10-6,6-1,2-0,9-0,113.634,50,86.5264,2,67.5694,171,113.9,55,87.1,1,67.3,179,10.38,37,2024-03-20
Tennessee,SEC,24-8,0.938076,7,25.97,7,7,8,6,5.7577975904499,8,2,8-7,5-1,6-0,5-0,115.559,33,91.2353,3,69.2156,79,117,29,91,3,69.2,79,12.63,8,2024-03-20
North Carolina,ACC,27-7,0.930435,9,24.65,9,8,6,5,6.5660434866577,5,1,9-3,7-4,6-0,5-0,116.811,26,93.2276,8,70.3667,46,117.8,24,93.1,6,70.5,41,11.24,21,2024-03-20
Alabama,SEC,21-11,0.912418,15,22.48,13,9,31,31,3.4410763108407,15,4,4-10,7-1,7-0,3-0,125.166,4,102.09,122,72.5071,13,125.6,2,103.1,112,72.7,10,13.67,6,2024-03-20
Duke,ACC,24-8,0.927198,11,24.88,8,10,20,21,3.3222017278745,17,3,5-4,6-4,7-0,6-0,120.807,9,96.828,30,66.8634,217,121.8,7,96.9,26,66.7,231,8.55,75,2024-03-20
Creighton,BE,23-9,0.929085,10,23.4,11,11,17,9,4.4230606827989,13,3,8-5,7-4,1-0,7-0,120.649,11,96.4641,27,66.9435,213,120.1,12,96.7,24,67,207,11.14,23,2024-03-20
BYU,B12,23-10,0.906557,18,21.01,16,12,38,19,2.8721341958837,22,5,6-8,5-2,4-0,8-0,120.626,12,98.9981,59,68.9667,90,120.5,11,99.5,48,69.1,84,9.64,52,2024-03-20
Marquette,BE,25-9,0.932831,8,22.74,12,13,9,7,6.5098207831295,6,3,9-8,6-1,4-0,6-0,118.915,19,94.597,17,69.0639,86,118.3,21,95.6,19,69,91,13.14,7,2024-03-20
Baylor,B12,23-10,0.910237,17,22.31,14,14,25,8,5.077845010043,10,3,10-9,4-1,3-0,5-0,122.215,6,99.9178,78,65.7347,274,122.5,6,100.2,64,65.6,281,14.07,1,2024-03-20
Illinois,B10,26-8,0.92209,12,23.99,10,15,7,13,6.0164295182398,7,2,8-6,6-1,7-1,5-0,125.336,3,101.101,97,69.8538,56,125.5,3,101.6,93,69.9,56,11.08,24,2024-03-20
Saint Mary's,WCC,26-7,0.91972,13,19.89,20,16,11,29,1.435448936859,36,6,5-3,3-2,5-2,12-0,115.777,31,93.6554,13,62.0722,358,114.9,45,95,16,62,358,3.06,108,2024-03-20
Gonzaga,WCC,25-7,0.91513,14,21.56,15,17,16,53,2.4722884438261,26,7,3-6,4-1,5-0,12-0,121.281,8,98.6259,50,69.0744,85,121,9,99.4,46,69.1,83,3.38,105,2024-03-20
Wisconsin,B10,22-13,0.901714,19,20.6,17,18,45,18,3.3351820092969,19,5,5-9,9-4,4-0,4-0,119.799,13,98.7983,55,64.9593,312,120.1,13,99.5,47,65.2,307,14,3,2024-03-20
Kentucky,SEC,23-9,0.89342,25,20.02,19,19,23,12,2.8592250679222,21,4,6-7,2-1,8-1,7-0,122.99,5,102.23,123,72.5043,14,122.7,5,102.7,106,72.7,9,9.12,66,2024-03-20
Kansas,B12,22-10,0.910808,16,19.23,22,20,44,11,4.2970215778661,14,4,7-9,6-0,4-1,4-0,113.457,52,92.7005,7,68.8808,93,113.4,65,94.2,10,68.9,92,13.73,5,2024-03-20
San Diego St.,MWC,24-10,0.878867,29,19.7,21,21,29,33,2.5801355171591,25,5,4-9,6-1,6-0,6-0,111.517,70,93.8646,14,66.1005,262,113.5,62,93.8,9,66,266,11.03,25,2024-03-20
New Mexico,MWC,26-9,0.89266,26,18.94,23,22,21,40,1.7189114219519,30,8,5-6,3-1,7-1,10-1,114.812,39,95.498,21,72.762,7,115.4,41,96.5,23,72.7,8,6.84,85,2024-03-20
Dayton,A10,24-7,0.854578,40,17.3,32,23,26,65,2.5802726789313,24,8,3-4,5-3,9-0,7-0,117.44,22,100.678,92,63.9873,338,118.6,18,101.3,87,64.2,337,5.94,88,2024-03-20
Michigan St.,B10,19-14,0.898266,23,20.03,18,24,64,47,0.2117267234432,54,9,3-9,6-5,6-0,4-0,112.697,60,93.2518,9,65.2716,303,113.8,57,93.7,8,65.2,305,12.3,12,2024-03-20
Colorado,P12,24-10,0.886734,27,18.47,26,25,28,55,1.7162098101706,31,10,4-5,6-5,7-0,7-0,117.232,24,98.0246,38,67.6878,160,117.6,25,99.1,42,67.5,165,8.13,76,2024-03-20
Florida,SEC,24-11,0.895019,24,18.19,29,26,24,16,2.9563322370583,20,5,6-8,4-2,9-1,5-0,119.641,14,99.2994,68,71.5755,20,119.3,14,101.1,83,71.7,18,10.73,29,2024-03-20
Boise St.,MWC,22-10,0.853863,41,16.38,39,27,42,17,0.88618634532582,46,9,6-5,3-4,3-1,8-0,114.032,46,97.8053,36,66.6194,235,114,52,97.6,29,66.8,223,9.32,59,2024-03-20
Texas Tech,B12,23-10,0.884546,28,18.54,24,28,30,15,3.4076970026133,16,6,6-9,4-1,6-0,7-0,117.492,21,98.4262,46,66.4282,245,117.9,23,99.4,45,66.7,233,10.53,31,2024-03-20
Indiana St.,MVC,28-6,0.846209,44,16.1,45,29,19,93,1.9491185101916,28,4,1-4,4-1,10-0,12-1,117.514,20,101.32,100,70.5153,40,118.3,22,102.2,99,70.5,40,1.78,129,2024-03-20
Texas,B12,20-12,0.900628,20,18.4,27,30,55,27,1.2196909581874,43,7,5-9,3-2,5-1,7-0,119.023,18,98.2626,42,67.1749,195,118.5,19,100.1,61,67.2,196,10.49,32,2024-03-20
Mississippi St.,SEC,21-13,0.877225,30,17.98,30,31,57,35,0.82233437439581,48,8,4-9,4-3,7-0,6-1,112.63,61,94.9277,19,67.1587,197,113.7,60,95.7,20,67.1,201,11.15,22,2024-03-20
St. John's,BE,20-13,0.900518,21,18.5,25,32,63,49,0.31986967958206,53,11,4-10,6-2,3-1,7-0,119.078,16,98.3187,44,69.2172,78,118.4,20,99.9,56,69.2,78,10.59,30,2024-03-20
Nebraska,B10,23-10,0.900226,22,18.19,28,33,35,50,2.3967214558438,27,8,4-7,5-3,7-0,7-0,115.667,32,95.529,24,68.6547,105,115.9,36,97.7,30,68.6,103,9.09,68,2024-03-20
Nevada,MWC,26-7,0.863418,37,16.82,36,34,13,22,2.7500961664243,23,7,6-6,2-0,8-1,9-0,115.077,37,98.0285,39,66.7643,224,115.6,40,98.8,36,66.6,235,5.69,89,2024-03-20
