team,conf,record,torvik_rating,torvik_rk,kp_rating,kp_rk,net,elo,resume,wins_above_bubble,wins_above_bubble_rk,torvik_seed,quad1,quad2,quad3,quad4,torvik_off,torvik_off_rk,torvik_def,torvik_def_rk,torvik_tempo,torvik_tempo_rk,kp_off,kp_off_rk,kp_def,kp_def_rk,kp_tempo,kp_tempo_rk,kp_sos,kp_sos_rk,date
Clemson,ACC,21-11,0.864887,35,16.94,34,35,58,23,0.94974722716746,45,7,5-5,5-5,6-1,5-0,116.7,27,99.3024,69,66.1881,257,117.4,27,100.5,67,66.1,260,10.08,41,2024-03-20
Colorado St.,MWC,24-10,0.846086,45,16.6,38,36,47,34,1.4606881655525,34,10,6-7,3-2,7-1,6-0,113.8,49,98.1254,40,65.8494,268,115.4,42,98.8,37,65.8,270,9.15,65,2024-03-20
Cincinnati,B12,20-14,0.851948,42,16.72,37,37,77,38,-0.71389348946077,65,8,4-11,3-1,4-2,9-0,111.2,77,95.5028,22,67.266,189,112.2,77,95.5,17,67.3,188,9.42,57,2024-03-20
Utah St.,MWC,27-6,0.814258,58,15.11,48,38,15,52,3.3396745330635,18,6,4-5,4-1,7-0,10-0,114.135,44,100.37,88,68.5099,109,115.6,38,100.5,68,68.5,107,6.02,87,2024-03-20
Florida Atlantic,Amer,25-8,0.817459,52,16.23,41,39,37,63,1.2551802404795,41,1,2-2,8-3,8-1,7-2,117.289,23,102.953,134,67.9129,144,118.9,16,102.7,107,68.1,137,5.28,93,2024-03-20
Pittsburgh,ACC,22-11,0.860382,38,16.36,40,40,39,51,0.30701269629548,50,3,4-6,5-3,6-2,7-0,115.781,30,98.8466,56,65.7679,272,115.9,35,99.5,50,65.5,292,7.76,80,2024-03-20
Villanova,BE,18-15,0.871121,32,16.93,35,41,83,41,-1.1431753691373,71,12,4-11,5-1,3-3,6-0,110.42,87,93.515,10,63.329,348,111.6,84,94.6,13,63.2,350,11.32,20,2024-03-20
TCU,B12,21-12,0.86884,33,17.29,33,42,60,32,1.3337071327899,39,9,5-11,3-1,5-0,8-0,114.45,41,97.0986,31,69.8894,54,115.1,44,97.8,31,69.7,63,9.83,46,2024-03-20
Wake Forest,ACC,20-13,0.865648,34,17.79,31,43,68,58,-1.3282255904757,72,9,2-8,7-4,5-1,6-0,116.46,28,99.0424,61,68.0345,140,117.6,26,99.8,55,68.1,133,8.6,74,2024-03-20
Washington St.,P12,24-9,0.855507,39,16.22,42,44,32,28,1.9448531612324,29,9,6-4,3-4,7-1,8-0,112.761,58,96.6038,28,64.8892,314,113.4,64,97.2,27,64.8,314,6.98,84,2024-03-20
Texas A&M,SEC,20-14,0.850037,43,16.11,44,45,59,14,0.25208125462515,52,10,7-7,6-3,2-4,5-0,115.079,36,98.964,58,65.5548,286,116,31,99.9,57,65.9,269,11.46,19,2024-03-20
Oklahoma,B12,20-12,0.843418,46,16.12,43,46,76,30,1.1652956857711,44,11,4-12,5-0,3-0,8-0,113.05,55,97.6513,34,67.0753,203,114.3,48,98.1,34,67,212,10.44,36,2024-03-20
Drake,MVC,28-6,0.828153,49,14.71,51,47,10,62,1.6695600085577,32,11,4-1,3-3,9-2,11-0,114.838,38,100.161,82,67.7659,154,115.6,39,100.9,75,67.8,151,2.6,120,2024-03-20
Utah,P12,19-14,0.842027,47,14.81,50,48,89,46,-1.047456667883,69,11,4-9,4-3,6-2,5-0,112.863,56,97.5793,32,69.6694,65,113.9,54,99.1,41,69.6,68,10.25,40,2024-03-20
Ohio St.,B10,20-13,0.86394,36,15.59,47,49,54,48,-0.22539016201767,58,7,3-7,3-5,10-1,5-0,115.482,34,98.3358,45,65.4236,293,115.7,37,100.1,60,65.4,294,10.04,43,2024-03-20
Grand Canyon,WAC,29-4,0.773246,70,13.91,53,50,22,99,1.3253046662282,38,12,1-0,2-2,11-2,14-0,111.076,79,99.8376,75,68.0422,139,113.5,63,99.6,51,68.1,134,-1.42,209,2024-03-20
South Carolina,SEC,26-7,0.841717,48,15.06,49,51,12,24,4.7476207342903,12,6,6-5,5-0,6-2,9-0,114.381,42,98.9116,57,62.9991,353,114.7,46,99.6,54,62.9,354,7.59,81,2024-03-20
James Madison,SB,31-3,0.778242,69,12.9,59,52,18,91,1.5001461138426,33,11,1-1,0-1,7-1,22-0,111.997,64,100.414,89,69.7631,62,113.9,56,101,79,69.5,71,-4.44,293,2024-03-20
Northwestern,B10,21-11,0.871543,31,15.91,46,53,56,43,1.5051341550262,35,10,4-7,5-3,5-0,7-1,117.148,25,99.181,63,63.6839,343,116.6,30,100.7,72,63.7,342,9.71,49,2024-03-20
Virginia,ACC,23-10,0.814497,57,12.07,69,54,48,56,1.2493854815349,40,5,2-7,8-3,7-0,6-0,104.574,190,91.9502,5,59.9872,362,105.4,194,93.3,7,59.9,362,8.03,77,2024-03-20
Princeton,Ivy,24-4,0.731258,90,12.35,66,55,33,110,1.1652107274961,42,13,0-0,2-3,11-1,9-0,114.489,40,104.944,172,64.7957,318,117.1,28,104.7,145,65,311,0.55,148,2024-03-20
McNeese St.,Slnd,30-3,0.753094,81,12.86,60,56,27,101,0.71902468326529,49,12,1-0,2-2,4-0,19-1,111.316,74,101.028,95,65.3245,298,114,51,101.2,84,65.6,282,-6.72,336,2024-03-20
Providence,BE,21-13,0.815218,55,13.6,54,57,80,20,0.75961713106251,57,6,6-9,3-4,1-1,11-0,108.482,115,95.3463,20,67.7867,153,109.1,119,95.5,18,67.7,158,9.93,44,2024-03-20
Bradley,MVC,22-11,0.80509,60,12.44,64,58,70,115,-3.387882218396,90,28,0-4,3-4,12-2,6-1,111.75,66,98.7828,54,66.2119,255,112.4,74,100,59,66.2,254,3.71,102,2024-03-20
Oregon,P12,23-11,0.814937,56,13.43,55,59,43,39,1.4346922537406,37,11,4-6,5-4,8-1,6-0,113.237,54,99.5414,72,67.1274,199,114,50,100.6,70,67.2,197,9.1,67,2024-03-20
Virginia Tech,ACC,18-14,0.816687,53,13.23,57,60,84,60,-2.2219380296061,77,17,3-7,3-6,6-1,6-0,115.98,29,101.85,112,67.4502,176,115.9,32,102.7,108,67.4,172,9.26,62,2024-03-20
UCF,B12,17-15,0.80854,59,12.84,61,61,90,59,-2.426552767305,80,24,4-10,2-2,4-2,7-1,106.549,151,94.0039,15,68.4248,117,107.7,149,94.8,15,68.3,124,9.72,48,2024-03-20
Iowa,B10,18-14,0.827845,50,14.02,52,62,71,57,-0.35428105901769,61,14,3-9,5-3,4-2,6-0,119.066,17,103.868,147,71.6064,19,119.2,15,105.2,153,71.3,22,11.64,16,2024-03-20
North Carolina St.,ACC,22-14,0.798286,63,13.06,58,63,51,36,-0.57570758270435,62,11,3-8,6-5,4-1,9-0,114.028,47,101.172,98,67.887,147,114.4,47,101.3,89,68.1,138,9.33,58,2024-03-20
Xavier,BE,16-17,0.800495,62,13.43,56,64,113,66,-2.0724533380541,78,36,2-13,6-2,1-1,7-1,111.364,72,98.69,52,70.9187,32,112.7,73,99.3,44,71,34,12.61,9,2024-03-20
SMU,Amer,20-12,0.778787,68,11.23,71,65,97,118,-4.2911506106735,101,31,0-4,2-5,8-2,9-1,111.02,81,99.5112,71,67.4051,179,111.2,87,100,58,67.4,169,2.97,109,2024-03-20
San Francisco,WCC,23-10,0.773244,71,11.45,70,66,82,114,-2.3811783824472,79,30,0-8,1-2,6-0,15-0,109.612,97,98.5217,48,67.0329,208,110.4,97,98.9,39,67.2,193,-0.7,189,2024-03-20
Seton Hall,BE,20-12,0.821435,51,12.68,62,67,61,26,0.95557643627659,47,2,5-8,4-3,2-1,9-0,111.609,68,97.7388,35,66.0231,263,112.3,76,99.6,52,66,263,10.04,42,2024-03-20
Butler,BE,18-14,0.81653,54,12.25,67,68,99,42,-0.8597570623782,66,16,4-11,4-3,2-0,7-0,112.343,63,98.6648,51,68.3962,120,113,71,100.8,73,68.4,121,11.62,17,2024-03-20
VCU,A10,22-13,0.745597,83,10.02,80,69,69,87,-3.8330139305024,95,27,1-4,7-5,7-2,7-2,107.926,123,98.2922,43,65.2115,305,109.3,115,99.2,43,65.2,302,4.13,100,2024-03-20
Washington,P12,17-15,0.803847,61,12.67,63,70,101,76,-3.5911310485993,93,32,2-7,5-6,6-2,4-0,114.377,43,101.175,99,71.0612,31,115.1,43,102.4,101,71.1,30,9.3,60,2024-03-20
Kansas St.,B12,19-14,0.797675,64,12.08,68,71,75,25,0.36744516242536,51,10,5-8,4-5,5-1,5-0,107.838,127,95.7115,25,67.2339,192,108.4,138,96.3,22,67.3,187,11.69,15,2024-03-20
Appalachian St.,SB,27-6,0.701612,100,10.14,79,72,52,82,-1.0340151003626,67,19,2-0,1-0,7-5,15-1,106.033,161,98.436,47,66.6958,230,108.3,141,98.1,33,66.7,229,-1.68,213,2024-03-20
Richmond,A10,23-9,0.756342,79,9.57,82,73,50,84,-0.73218908985502,63,20,1-3,5-4,9-2,8-0,106.838,145,96.8161,29,66.77,222,107.5,153,97.9,32,66.8,219,2.88,110,2024-03-20
Samford,SC,29-5,0.731525,89,9.79,81,74,34,113,0.076182911327987,55,12,0-2,2-0,10-3,15-0,111.731,67,102.405,126,72.5648,12,113.1,69,103.3,116,72.5,14,-2.73,247,2024-03-20
Memphis,Amer,22-10,0.724064,94,10.54,74,75,67,81,-1.0426489780832,68,21,2-3,4-3,11-3,5-1,111.527,69,102.553,128,71.6234,18,113.1,70,102.5,105,71.5,19,5.06,95,2024-03-20
UNLV,MWC,19-12,0.782392,67,10.89,72,76,66,44,-2.5711863869569,83,15,5-5,1-4,6-0,5-3,111.307,75,99.5856,74,64.8855,315,112.3,75,101.4,92,64.9,312,7.48,82,2024-03-20
UC Irvine,BW,24-9,0.731198,91,10.35,76,77,65,130,-2.6391557655471,84,35,0-3,1-2,7-3,15-1,108.205,120,99.1874,64,68.4072,118,109.4,110,99.1,40,68.4,119,-0.29,176,2024-03-20
South Florida,Amer,24-7,0.728997,92,9.13,89,78,46,98,-0.7257856942973,64,25,1-0,5-3,8-2,10-2,109.378,102,100.36,87,67.8619,149,110.4,96,101.3,85,68,143,0.37,152,2024-03-20
North Texas,Amer,18-14,0.783451,66,10.89,73,79,114,122,-5.7980352456077,124,48,0-6,2-4,9-3,5-1,109.425,101,97.8483,37,61.3098,360,109.7,107,98.8,38,61.5,360,5.23,94,2024-03-20
Boston College,ACC,19-15,0.74291,86,10.49,75,80,79,67,-3.6362381627206,87,26,3-6,4-8,6-1,7-0,111.808,65,101.952,116,67.1313,198,113.2,67,102.7,109,67.1,203,7.99,78,2024-03-20
Yale,Ivy,22-9,0.743243,85,9.47,84,81,53,123,-2.5116106003417,81,13,0-3,3-2,10-2,7-2,109.772,96,100.081,80,64.6279,324,110.8,89,101.3,90,64.5,327,2.09,127,2024-03-20
Maryland,B10,16-17,0.788921,65,12.42,65,82,128,71,-4.055556304891,98,44,2-9,4-4,3-4,7-0,105.756,165,94.3005,16,65.409,294,107.1,160,94.7,14,65.4,299,9.82,47,2024-03-20
Duquesne,A10,24-11,0.761824,75,9.37,86,83,41,64,-1.7819646043404,75,12,2-3,6-5,5-3,10-0,106.367,153,96.1385,26,66.2708,254,106.9,166,97.5,28,66.3,251,4.86,97,2024-03-20
Syracuse,ACC,20-12,0.756522,78,9.28,88,84,72,54,-0.25021205095616,59,18,3-7,4-4,8-1,4-0,111.262,76,100.817,93,70.6766,36,111,88,101.7,95,70.6,38,10.33,38,2024-03-20
Loyola Chicago,A10,23-9,0.744423,84,8.69,92,85,49,94,-1.4693770961805,73,29,1-3,4-4,9-1,8-1,104.814,182,95.5094,23,68.5883,107,105.6,189,96.9,25,68.6,106,2.62,118,2024-03-20
Penn St.,B10,16-17,0.768699,73,10.34,77,86,116,74,-4.610922078864,108,47,2-8,4-6,5-2,5-1,110.142,89,99.2202,65,69.8399,59,111.4,86,101,82,69.7,61,9.48,55,2024-03-20
St. Bonaventure,A10,20-13,0.687402,103,7.45,101,87,98,111,-4.7643303141795,110,39,1-4,3-3,8-3,8-3,111.041,80,103.687,145,65.392,295,111.6,83,104.2,133,65.5,290,2.65,117,2024-03-20
USC,P12,15-18,0.770241,72,9.42,85,88,109,73,-5.0414850827431,114,58,2-9,5-5,4-3,4-1,110.005,91,99.021,60,68.1199,133,110.3,99,100.9,78,68.1,139,10.74,27,2024-03-20
Minnesota,B10,18-14,0.76516,74,10.16,78,89,107,85,-2.4995750356065,82,33,1-9,5-3,3-2,9-0,114.023,48,102.893,133,66.6074,236,114,49,103.9,128,66.5,241,7.38,83,2024-03-20
Mississippi,SEC,20-12,0.758505,76,9.31,87,90,100,70,-0.38987351324283,60,23,3-8,3-4,8-0,6-0,113.606,51,102.844,132,66.7497,227,114,53,104.6,142,66.9,218,8.84,72,2024-03-20
Massachusetts,A10,20-11,0.721733,96,8.58,94,91,88,108,-4.5948620688772,106,41,1-1,2-3,8-6,9-1,110.884,82,102.064,121,68.2613,129,111.7,81,103.2,115,68.1,135,0.72,143,2024-03-20
Saint Joseph's,A10,21-13,0.717652,97,7.52,99,92,87,95,-4.4310490694721,103,34,1-4,4-5,5-3,11-1,110.584,85,101.968,117,68.3095,125,110.8,90,103.3,117,68.4,122,2.25,124,2024-03-20
George Mason,A10,20-12,0.716831,98,8.18,96,93,104,100,-4.5487924782139,105,38,1-2,3-5,6-5,9-0,108.739,108,100.302,85,63.7695,342,109.5,109,101.3,88,63.6,344,2.47,122,2024-03-20
LSU,SEC,17-15,0.749845,82,8.72,91,94,106,69,-3.0732865778878,88,37,4-8,1-6,5-0,7-1,110.354,88,100.307,86,69.7489,63,110.1,102,101.4,91,69.6,67,9.01,69,2024-03-20
Cornell,Ivy,22-7,0.656787,112,7.12,103,95,73,124,-1.4827227636419,76,40,0-3,1-4,8-0,11-1,111.361,73,105.25,179,71.4615,22,113.1,68,106,173,71.3,26,0.03,162,2024-03-20
Florida St.,ACC,17-16,0.736989,87,9.49,83,96,95,68,-3.5038872343692,91,43,1-8,9-5,3-2,4-1,110.114,90,100.677,91,70.9013,33,110.5,94,101,80,71,31,10.46,35,2024-03-20
College of Charleston,CAA,27-7,0.702335,99,7.61,98,97,36,125,-1.5972070194914,74,13,0-1,1-2,11-4,14-0,113.317,53,105.166,177,69.9523,53,113.7,58,106.1,175,69.8,59,-2.13,225,2024-03-20
Indiana,B10,19-14,0.754849,80,8.68,93,98,74,61,0.064480875916222,56,22,3-9,6-4,4-1,6-0,109.777,95,99.55,73,68.4427,115,109.7,106,101,81,68.4,116,11.87,13,2024-03-20
Louisiana Tech,CUSA,22-10,0.723549,95,8.32,95,99,93,142,-4.3291439304495,102,51,0-3,1-1,6-5,12-1,107.687,136,99.0441,62,65.6275,283,108.7,132,100.4,65,65.7,278,-0.12,168,2024-03-20
Georgia,SEC,17-16,0.757799,77,9.05,90,100,126,96,-3.7281742931374,94,46,1-9,2-6,8-1,6-0,109.599,98,99.2502,66,68.3592,121,109.6,108,100.5,69,68.3,126,9.56,54,2024-03-20
Miami FL,ACC,15-17,0.724074,93,7.44,102,101,168,83,-5.282873971385,117,59,1-9,7-4,1-3,6-1,109.905,93,101.061,96,68.6616,104,110.8,92,103.3,118,68.5,111,9.2,64,2024-03-20
Vermont,AE,28-6,0.659028,110,6.98,104,102,40,126,-1.2337987798803,70,13,0-2,2-0,9-3,15-1,104.522,191,98.7013,53,63.3078,350,107.1,159,100.1,62,63.2,349,-2.65,244,2024-03-20
Rutgers,B10,15-17,0.692925,101,7.49,100,103,143,78,-3.4494155383741,92,57,2-11,4-4,2-2,7-0,98.0732,295,91.3727,4,67.8081,151,99.2,298,91.8,5,67.8,152,11.52,18,2024-03-20
Santa Clara,WCC,20-13,0.634852,118,5.61,109,104,118,89,-3.8218807751176,96,42,2-7,4-2,2-1,11-3,108.406,117,103.315,140,69.0322,87,109.8,105,104.2,134,69.1,86,2.61,119,2024-03-20
UAB,Amer,23-11,0.663395,109,6.28,106,105,62,102,-2.7187513449939,85,13,0-4,7-3,9-2,6-2,112.756,59,106.296,197,67.7335,157,113.7,59,107.4,202,67.8,154,4.46,98,2024-03-20
Morehead St.,OVC,26-8,0.588668,134,5.47,111,106,86,153,-3.3677325019625,89,14,0-2,0-2,3-2,19-2,106.658,149,103.385,142,64.2788,333,109,125,103.5,120,64.2,335,-5.79,319,2024-03-20
UCLA,P12,16-17,0.733777,88,7.71,97,107,125,88,-5.171915824963,116,63,1-10,6-2,3-4,5-1,107.629,137,98.5462,49,63.0582,351,107.2,156,99.5,49,63,352,8.89,71,2024-03-20
Akron,MAC,24-10,0.594676,131,4.93,116,108,103,131,-4.5004881289133,104,14,0-3,2-3,6-2,14-2,105.02,176,101.577,103,65.6976,276,107,163,102,97,65.9,267,-1.86,219,2024-03-20
Northern Iowa,MVC,19-14,0.668144,108,5.54,110,109,85,105,-5.0232184369502,113,49,0-6,5-3,6-4,7-1,108.695,111,102.278,125,66.4609,243,109.2,117,103.7,125,66.6,234,4.95,96,2024-03-20
High Point,BSth,25-8,0.616419,122,5.4,112,110,91,185,-4.1687224588335,99,61,0-0,0-1,6-4,17-3,114.076,45,109.466,263,68.4832,113,115.9,34,110.5,262,68.5,109,-4.4,291,2024-03-20
Western Carolina,SC,22-10,0.654438,113,5.68,108,111,110,119,-5.3123533953311,119,52,0-1,2-3,5-6,12-0,107.708,133,101.89,113,66.8035,221,109.2,116,103.5,122,66.8,225,-0.59,183,2024-03-20
Hofstra,CAA,20-13,0.657796,111,5.34,114,112,111,155,-6.4006250566082,132,55,0-2,1-4,8-5,10-2,107.938,122,101.975,118,65.5869,285,108.5,136,103.2,113,65.6,280,-0.18,171,2024-03-20
Stanford,P12,14-18,0.689419,102,6.42,105,113,156,86,-7.0231980203523,141,77,1-7,4-4,5-6,4-1,109.82,94,102.464,127,69.5128,69,110.4,98,103.9,129,69.5,69,7.96,79,2024-03-20
Charlotte,Amer,19-12,0.677784,107,4.71,119,114,108,117,-4.9556828900541,112,50,0-4,2-2,6-6,10-0,108.576,112,101.778,108,62.4223,356,108.7,131,104,131,62.4,356,2.81,112,2024-03-20
Arkansas,SEC,16-17,0.678023,106,5.81,107,115,132,79,-4.8008954279929,111,60,2-9,1-6,7-1,6-1,109.533,99,102.665,130,70.6239,37,110,103,104.2,136,70.7,36,9.66,51,2024-03-20
Southern Illinois,MVC,19-13,0.636309,115,4.52,122,116,140,116,-6.2960863410584,129,54,1-3,0-5,6-4,11-1,108.537,114,103.384,141,64.2131,336,109.3,114,104.8,147,64.4,332,0.78,142,2024-03-20
Belmont,MVC,20-13,0.682581,104,5.34,113,117,96,120,-5.1918632495667,115,53,0-6,2-1,6-6,11-0,109.078,105,102.052,120,71.1301,28,109.3,112,104,130,71.2,29,2.81,111,2024-03-20
UNC Wilmington,CAA,21-10,0.617815,121,4.83,118,118,120,103,-4.6589848735462,107,45,1-0,1-3,5-5,11-2,112.516,62,107.914,230,65.0932,308,113.3,66,108.5,223,65.2,303,-0.27,175,2024-03-20
Seattle,WAC,19-14,0.602303,129,4.53,120,119,145,158,-8.3562569508142,169,67,0-4,1-2,4-6,13-2,103.722,208,100.045,79,66.7368,228,105.2,199,100.7,71,66.7,230,-0.8,192,2024-03-20
UC San Diego,NA,21-11,0.607424,126,4.53,121,120,NA,NA,-6.1581064265498,NA,NA,0-2,0-3,6-3,13-3,110.717,84,106.593,205,65.2826,300,111.9,80,107.3,201,65.3,301,-1.92,220,2024-03-20
Davidson,A10,15-17,0.633172,119,4.27,125,121,194,121,-8.6708153374812,173,89,0-5,3-5,4-6,6-1,104.711,185,99.8574,77,65.4463,291,105.6,190,101.3,86,65.5,285,4.32,99,2024-03-20
Drexel,CAA,20-12,0.602533,128,4.29,124,122,117,132,-6.5421601292206,134,56,1-1,0-3,4-6,14-2,107.021,142,103.218,139,64.4627,330,108.3,140,104,132,64.4,330,-1.8,216,2024-03-20
